thread_id,thread_title,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90
108ilzk,Why is Wells Fargo hated so much here?,143,10153,0.3205759593908735,0.18705035971223022,0.04600405136435955,0.036151697971052235,0.032911181619819395,0.4937388317685732,0.48229534795903506,0.4830308361798099,0.4873092770576477,0.895370602607727,0.2563454508781433,0.24192401766777039,0.8370094299316406,0.5129976272583008,29,114,0.20279720279720279,0.24079292034404678,1.7655273768788973,0.5298376409634197,0.7622377622377622,0.7253521126760564,neutral,0.5454545454545454,0.11188811188811189,0.07692307692307693,0.18181818181818182,0.6293706293706294,42.75057563301778,41.0,1.1371525884526679,9.0,2.6013986013986012,1.3454545454545455,5.251953125,0.16541115518405355,0.9952512979507446,0.9371008276939392,0.0013260292033167459,0.06475979834794998,0.0004697271331679075,0.0906978177868963,0.9786575436592102,0.330902338027954,0.0002766417971155012,0.02016061171889305,0.00039245120715349904,0.10096542284039575,0.9922052025794983,0.38998619914054844,0.0012682289913112715,0.02837410382926464,0.0034987899474799617,0.05999088263384817,0.4646908013576952,0.32361341556631185
187217p,Well Fargo to release new Autograph Journey card with $95 AF,111,6105,0.31036966100887015,0.1111111111111111,0.046643352378378446,0.03486803574136416,0.030729168210827815,0.47412008894798113,0.4824133947918788,0.4743633564235147,0.48413991928100586,0.6398769021034241,0.2147655040025711,0.19081924855709076,0.7751845121383667,0.4258842468261719,6,105,0.05405405405405406,0.08807138982019178,1.7286796464574927,0.518779577057412,0.8018018018018018,0.7454545454545455,neutral,0.5225225225225225,0.16216216216216217,0.1891891891891892,0.16216216216216217,0.4864864864864865,36.599041164195306,36.0,0.9438879110654458,10.0,3.09009009009009,1.375,3.939866369710468,0.020671740796748415,0.9814677834510803,0.0012453485978767276,0.00015208468993568294,0.012342289090156555,2.2200329112820327e-06,0.015832945017406543,0.9156489372253418,9.244096145266667e-05,6.23752822886328e-05,0.0021412107162177563,4.118772631045431e-05,0.0105968344549445,0.5862388014793396,0.00026081729447469115,0.00019437126048524897,0.00687416410073638,0.00013080384815111756,0.007918391916968172,0.4172930298373103,0.00030377145738687733
1gk78mi,Do you trust Wells Fargo and their products?,79,3081,0.31602025151252744,0.14666666666666667,0.04668213813965721,0.03313311186525759,0.028566131548573438,0.49517702511749034,0.49150004833985056,0.488901929919575,0.49701380729675293,0.7839877605438232,0.30610257387161255,0.2989712953567505,0.8051255345344543,0.567314624786377,23,56,0.2911392405063291,0.28940941488865435,1.9379541817473054,0.5815832059015519,0.810126582278481,0.7435897435897436,neutral,0.4936708860759494,0.25316455696202533,0.05063291139240506,0.11392405063291139,0.5822784810126582,34.843896163083514,48.5,0.8204673016046491,6.0,1.6582278481012658,1.1304347826086956,2.235294117647059,0.14600494370134134,0.9907200336456299,0.8645550966262818,0.0004326971546184216,0.015665045008063316,0.00015536515857093072,0.07857528329063652,0.9487539529800415,0.21950010657310493,0.0004379995498196347,0.013500714674592018,0.0004321275628171864,0.07685473633411008,0.9882083535194397,0.17858035862445856,0.000551381553595081,0.006018382031470537,0.0017143152188509704,0.05047617359735352,0.3793436482665129,0.30406443048380727
1hav81l,Is the Wells Fargo autograph card the most underrated card on the market? ,88,3828,0.32037159026443185,0.2077922077922078,0.04551834372691684,0.03531173941247702,0.03199064902179487,0.4730367177285745,0.4812988277209403,0.4736625433022637,0.4851851314306259,0.7181578278541565,0.21591877937316895,0.20113274455070496,0.7267783284187317,0.43815651535987854,4,84,0.045454545454545456,0.09648885268887336,1.6535114375862718,0.49622147516369935,0.8636363636363636,0.6666666666666666,neutral,0.5568181818181818,0.2727272727272727,0.09090909090909091,0.2159090909090909,0.42045454545454547,31.39115846134791,33.25,0.8750148700027292,8.0,2.409090909090909,1.7586206896551724,3.8189189189189188,0.06800651215929644,0.9831655025482178,0.07200983129441715,0.00044512776647435845,0.03571540117263794,2.1761390053143234e-05,0.02612870347202674,0.9680138826370239,0.0025828910525888195,0.00070616774718763,0.05557510256767273,8.754089940339325e-05,0.039219910081307964,0.9636595249176025,0.003717731335200364,0.00028338196224550217,0.011321084573864937,0.00032717180438339704,0.022464967198089773,0.4179307923768647,0.02333248089623029
1nkoqe6,Well Fargo Autograph vs Amex green card,31,465,0.30923020641009014,0.13333333333333333,0.04897680859403035,0.03361089096197059,0.028029481406672798,0.47462846444499107,0.5000454186752278,0.4834170871524401,0.4918060004711151,0.6055152416229248,0.2684299945831299,0.2625361382961273,0.6416668891906738,0.4646655321121216,2,29,0.06451612903225806,0.06748131335142159,1.684533900059347,0.5055313666719621,0.7741935483870968,0.8,neutral,0.5483870967741935,0.22580645161290322,0.12903225806451613,0.22580645161290322,0.41935483870967744,62.626787113022935,32.5,1.172361352961178,8.0,3.129032258064516,1.2941176470588236,4.422360248447205,0.03455754385832997,0.778563916683197,0.0009271990275010467,3.065051790570344e-05,0.0006595859886147082,1.934751026055892e-06,0.02610382021967164,0.497283399105072,5.497948222910054e-05,3.980732905010002e-05,0.00024833850329741836,3.958894740208052e-05,0.012511712398273015,0.3585752248764038,0.00021891563665121794,0.00020736454180516904,0.0030629392713308334,0.00015478048590011895,0.012241816477505933,0.27305558682322345,0.0002222323968226192
1nycohz,Is the Wells Fargo Autograph + Capital One Savor a good combo?,19,171,0.30063200781219884,0.10526315789473684,0.050306435188771224,0.03265521759934242,0.025152276268286044,0.5187885959943136,0.5241669867819513,0.5143726487257327,0.5199302434921265,0.6656659245491028,0.3920779824256897,0.3749541938304901,0.6643338799476624,0.5953295230865479,0,19,0.0,0.05394498092171393,1.4861241287946156,0.4459882712050218,0.7368421052631579,0.7777777777777778,neutral,0.5263157894736842,0.42105263157894735,0.3157894736842105,0.05263157894736842,0.21052631578947367,69.37784457994898,90.5,0.9859229970224613,5.0,2.0,1.1111111111111112,1.7,0.0015596345244710775,0.015686610713601112,0.0015886078123003237,3.172458670968282e-06,2.275859151268378e-05,3.903185006493002e-06,0.0008509179505812139,0.013753382489085197,0.00045538714621216,3.058845093044894e-05,0.00010333371028536931,4.742298624478279e-05,0.00022294190076584193,0.001384878996759653,0.00028424374177120625,7.766757315900912e-05,0.00013767917698714882,9.110231039812785e-05,0.00045748714309642665,0.005181440613038528,0.00039974893499371907
1ovv2p9,"First travel card recommendation for one big trip then casual travel - Chase, Wells Fargo, or Capital One?",16,120,0.3061229020357132,0.13333333333333333,0.04303532769567754,0.031077035307960556,0.025670544147503242,0.49149594120681284,0.47442304231226445,0.46445234057803947,0.4553191065788269,0.7274790406227112,0.260635644197464,0.2545814514160156,0.5975683927536011,0.499749094247818,1,15,0.0625,0.10550127597525716,1.2123138802671547,0.36381736972182793,1.0,0.8666666666666667,neutral,0.4375,0.8125,0.0625,0.0625,0.0625,71.87706518772174,53.0,1.1640010556716072,3.0,1.8125,1.25,1.4375,0.0016005669476726325,0.013837732374668121,0.002841627865564078,3.4906679502455518e-06,1.8836057279258966e-05,9.411971063855162e-06,0.0008415483890757969,0.012027855962514877,0.0004886502210865729,2.9747846156169544e-05,0.0001124829868786037,5.623547258437611e-05,0.000238541727867414,0.0016632662154734135,0.0003250092559028417,8.869187445270654e-05,0.0002928226313088089,0.0001305911755480338,0.00046709790886249414,0.004638549464895429,0.0006493233694773911
1p6oxyu,So what are Wells Fargo’s application rules?,46,1035,0.3071950166062875,0.11363636363636363,0.05017858995807147,0.03935434926782547,0.035543203332287804,0.471704812211115,0.4876286038741973,0.472581636502547,0.47636255621910095,0.6998821496963501,0.20098777115345,0.16763627529144287,0.6934992074966431,0.4505624771118164,8,38,0.17391304347826086,0.21166067558300236,1.7007425347907479,0.5103956043506239,0.9130434782608695,0.7555555555555555,neutral,0.5434782608695652,0.17391304347826086,0.17391304347826086,0.32608695652173914,0.32608695652173914,26.12178834013775,33.5,0.8426383335528307,8.0,2.5217391304347827,1.4545454545454546,2.722689075630252,0.0027203013400456098,0.10019706189632416,0.0009369225008413196,1.590909426380202e-06,5.902702469029464e-06,1.8896551523539529e-06,5.3315237180314675e-05,0.0007373596890829504,4.9534797653905116e-05,2.4478204364720074e-05,0.00010830022074515,3.55527308784076e-05,0.0012364033642845006,0.05105787143111229,0.0001785214335541241,9.575376426927623e-05,0.0008177208947017789,9.756914369063452e-05,0.0006886404699284668,0.02548736947240589,0.00021857510976512154
1pcpw2k,Are there any downsides of the Wells Fargo autograph card? Debating between that and Amex gold. Please let me know your thoughts.,29,406,0.30656340923802605,0.034482758620689655,0.0481253610189499,0.03407409599378138,0.029179956344827226,0.4928466344408214,0.5134456249440245,0.4986332075055597,0.5054121911525726,0.6430295705795288,0.29409411549568176,0.2718317210674286,0.7404436469078064,0.5717607736587524,3,26,0.10344827586206896,0.1327930337203474,1.3162126716590614,0.39499756621776383,0.8620689655172413,0.5357142857142857,neutral,0.6206896551724138,0.41379310344827586,0.10344827586206896,0.13793103448275862,0.3448275862068966,47.94070852509616,66.0,0.9668154014101452,3.0,1.8275862068965518,1.5,1.6153846153846154,0.03830171309427583,0.9906471371650696,0.0012144277337938537,0.0019277193113425553,0.05575323849916458,2.292848466822761e-06,0.037399469329729665,0.9655323624610901,7.910079148132349e-05,7.547060961550069e-05,0.0013418735470622778,3.7716874066973106e-05,0.025501367417244434,0.7323505282402039,0.00023284606868401137,0.0008108073585578401,0.021036390215158463,0.00013586532149929554,0.017336091186794307,0.4611102550212915,0.00027672944142220003
1phz693,Citi Strata vs Wells Fargo Autograph,22,231,0.2853689659386873,0.0,0.0685829954301389,0.048404431266588714,0.04170467298626781,0.47251334109089593,0.4833221458769464,0.47084047371174864,0.47138985991477966,0.9999999403953552,0.33966362476348877,0.3119004964828491,0.8464463949203491,0.6422231793403625,0,22,0.0,0.04536706624044613,1.4272171500680497,0.4283101909591402,0.9545454545454546,0.7619047619047619,neutral,0.5,0.6363636363636364,0.045454545454545456,0.045454545454545456,0.2727272727272727,48.95125337120154,79.25,0.7301203892653788,5.0,2.3636363636363638,1.1538461538461537,2.027027027027027,0.0035650957844071936,0.01874597743153572,0.017624252010136825,8.127348538974646e-06,4.089652793481946e-05,3.9649635436944646e-05,0.00016421056104511743,0.0008646222413517535,0.0007986900280229738,4.7855150114628486e-05,0.0002268068928970024,9.715950000099838e-05,0.00035471625431620686,0.0018628325778990984,0.0005969019839540124,0.0005402950021313948,0.003254961222410202,0.0029683623259188566,0.0007800500167589195,0.003933419817864585,0.0037069140179975544
