domain,model,metric,real_n,sim_n,real_mean,real_median,sim_mean,sim_median,mwu_p_value,ks_p_value,cliffs_delta,abs_cliffs_delta,cliffs_delta_interpretation,wasserstein,quantile_error,empirical_fail_rate
credit_cards,sensenova-6.7-flash-lite,avg_depth,2650,200,1.9440183300043192,1.8333333333333333,1.00375,1.0,4.468394892878577e-85,1.0280471735879183e-134,0.8223528301886792,0.8223528301886792,large,0.9402683300043191,1.003895116275562,0.0
credit_cards,sensenova-6.7-flash-lite,emotion_entropy,2650,200,1.0870168460314604,1.1514008198358552,1.2944201800614619,1.242453324894,0.00010794500843087293,2.96144539759026e-22,-0.16376792452830188,0.16376792452830188,small,0.3372677214266402,0.35273513253736155,0.0
credit_cards,sensenova-6.7-flash-lite,hard_disagree_rate,2644,200,0.06647399064329004,0.0,0.11379783737504326,0.1,1.2367998085091934e-15,1.1982856906124701e-19,-0.3145953101361573,0.3145953101361573,small,0.04959240779200055,0.0708308328968975,0.02
credit_cards,sensenova-6.7-flash-lite,impolite_rate,2650,200,0.3765316279131811,0.375,0.6106756870580401,0.6363636363636364,2.9973806086240444e-56,5.809052741669082e-71,-0.667988679245283,0.667988679245283,large,0.258388659751535,0.2565331370194592,0.0
credit_cards,sensenova-6.7-flash-lite,length_cv,2650,200,0.7373828623485065,0.7503112760527104,0.4053704719472799,0.3919377905124791,5.873619085227908e-54,6.23621681618061e-75,0.6548528301886792,0.6548528301886792,large,0.35927572345412295,0.4051773829556276,0.0
credit_cards,sensenova-6.7-flash-lite,mean_story_probability,2650,200,0.178080391949373,0.1338041181337427,0.1435479736706139,0.14001049902290105,0.31760590810747835,2.2809937511551013e-24,-0.04232075471698113,0.04232075471698113,negligible,0.09764004686082858,0.11431311034001006,0.0
credit_cards,sensenova-6.7-flash-lite,neutral_rate,2650,200,0.17549541447813113,0.15384615384615385,0.2055493991302815,0.2,1.6941807571865343e-09,9.862501277443896e-29,-0.25255283018867924,0.25255283018867924,small,0.09689458163786858,0.10800353695021239,0.0
credit_cards,sensenova-6.7-flash-lite,obscene_mean,2650,200,0.00984051438446004,6.461252708807783e-05,0.00020195347894752018,0.00013838716288525822,7.467156158726392e-05,3.514986790446367e-38,-0.1677245283018868,0.1677245283018868,small,0.009722455871511984,0.043135208643487265,0.0
credit_cards,sensenova-6.7-flash-lite,polite_rate,2650,200,0.33830999039603943,0.29411764705882354,0.058413925535249066,0.0,3.116731007210125e-66,4.192176509437611e-84,0.725788679245283,0.725788679245283,large,0.27989606486079033,0.28666513155395273,0.0
credit_cards,sensenova-6.7-flash-lite,self_bertscore_mean_f1,2650,200,0.4633112601492162,0.49024052772724974,0.5376187750866072,0.5355819025928648,1.9389797234844695e-85,1.663620243060752e-111,-0.8294,0.8294,large,0.07436516453807168,0.08906284486798349,0.085
credit_cards,sensenova-6.7-flash-lite,self_bleu_4,2650,200,0.03252158527373746,0.03117650101295372,0.04040539856594329,0.039901717883568597,1.1995832170411606e-27,7.312262337510662e-27,-0.46136603773584905,0.46136603773584905,medium,0.01069703323033524,0.01827330359731324,0.0
credit_cards,sensenova-6.7-flash-lite,semantic_mean_cosine,2650,200,0.3009584286515513,0.2953270971775055,0.30231753312051296,0.30144166946411133,0.8368533631088679,8.319584925736702e-20,-0.008720754716981131,0.008720754716981131,negligible,0.06733289268201675,0.07939915410464717,0.01
credit_cards,sensenova-6.7-flash-lite,severe_toxicity_mean,2650,200,7.777969234977678e-05,1.8872182445726949e-06,2.9482262684794448e-06,2.887186104255141e-06,2.1988904215995154e-07,5.461088882167263e-42,-0.2194188679245283,0.2194188679245283,small,7.601562943430594e-05,0.00032972979322935813,0.0
credit_cards,sensenova-6.7-flash-lite,structural_virality,2650,200,1.6953814176082407,1.5714285714285714,0.006666666666666666,0.0,2.2728086488146143e-85,1.0280471735879183e-134,0.8229301886792453,0.8229301886792453,large,1.6887147509415743,1.743739379207895,0.0
credit_cards,sensenova-6.7-flash-lite,threat_mean,2650,200,0.0002910422496229172,2.850068167390418e-05,0.00037779996697842654,0.00038606721930343406,1.617555434494446e-76,2.012385011119041e-134,-0.7839358490566037,0.7839358490566037,large,0.0005096177872500464,0.0034284817574523267,0.0
credit_cards,sensenova-6.7-flash-lite,toxicity_mean,2650,200,0.018768225615284906,0.0008876006010853285,0.0021766706642295827,0.0019958719130954705,9.735905720214808e-05,1.5258258030831033e-36,-0.16502264150943396,0.16502264150943396,small,0.017818802010277045,0.05099528259332255,0.0
