product,thread_id,comment_count,pair_count,mean_disagree_probability,hard_disagree_rate,self_bleu_2,self_bleu_3,self_bleu_4,self_bertscore_mean_precision,self_bertscore_mean_recall,self_bertscore_mean_f1,self_bertscore_median_f1,self_bertscore_top_k_mean_f1,semantic_mean_cosine,semantic_median_cosine,semantic_top_k_mean_cosine,semantic_p90_cosine,story_count,not_story_count,story_rate,mean_story_probability,emotion_entropy,emotion_entropy_normalized,avg_labels_per_comment,emotion_shift_rate,dominant_emotion_share,polite_rate,somewhat_polite_rate,neutral_rate,impolite_rate,length_std,length_iqr,length_cv,max_depth,avg_depth,avg_branching_factor,structural_virality,toxicity_mean,toxicity_max,toxicity_p90,severe_toxicity_mean,severe_toxicity_max,severe_toxicity_p90,obscene_mean,obscene_max,obscene_p90,threat_mean,threat_max,threat_p90,insult_mean,insult_max,insult_p90,identity_attack_mean,identity_attack_max,identity_attack_p90,aggression_score_mean,aggression_score_max,aggression_score_p90,dominant_emotion,thread_title
lenovo_legion_7i_16_2_5k_oled_gaming_laptop_intel_core_ultra_9_275hx_2025_32gb_ram_nvidia_geforce_rtx_5070_1tb_ssd_glacier_white,1rg6fsw,14,91,0.3130573502608708,0.14285714285714285,0.042637899838849636,0.03280500408980514,0.02955358046482489,0.45721359174330156,0.4537514818238688,0.45258371974085715,0.47359567880630493,0.5809678435325623,0.3014940917491913,0.3068481683731079,0.616079568862915,0.5778971314430237,3,11,0.21428571428571427,0.256429711223713,1.450805020083924,0.4353889491637601,0.7857142857142857,0.6923076923076923,0.5714285714285714,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.5,38.477730108281,37.5,1.0260728028874935,8.0,3.4285714285714284,1.0,2.764705882352941,0.061211155249371325,0.8450403213500977,0.004866365174530069,0.00011017015888065933,0.0015170845435932279,5.698808809029284e-06,0.048968327961509725,0.6848295331001282,0.00024661722927703505,0.00011306463082811595,0.0010322988964617252,0.00022044144607207252,0.01064444872931095,0.14733992516994476,0.0003437224862864239,0.0002201471782297761,0.0018586392980068922,0.00023465814301744088,0.020211218984688424,0.2801482003609029,0.001070178210024626,neutral,BestBuy Canada has the 7i (Intel Core Ultra 9 - 275HX/32GB RAM/1TB SSD/RTX 5070) on sale for $2399.99
16_2k_lcd_touchscreen_16gb_memory_1tb_storage_windows_11_copilot_pc_intel_core_ultra_7,1qb5hrr,1,0,0.2865811586380005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.22341638803482056,-0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0009054235997609794,0.0009054235997609794,0.0009054235997609794,2.9392240321612917e-06,2.9392240321612917e-06,2.9392240321612917e-06,0.00010857878078240901,0.00010857878078240901,0.00010857878078240901,4.083129169885069e-05,4.083129169885069e-05,4.083129169885069e-05,0.00014414711040444672,0.00014414711040444672,0.00014414711040444672,0.00011472839105408639,0.00011472839105408639,0.00011472839105408639,0.00021944139962215559,0.00021944139962215559,0.00021944139962215559,neutral,"[Walmart] HP OmniBook 5 AI PC Laptop: 16"" (1920 x 1200) 2K Touch Display, Intel Core Ultra 7 255U, Intel Graphics, 16GB RAM, 1TB SSD, Glacier Silver, Now: $599 After $390 Off"
lenovo_yoga_slim_7x_copilot_pc_14_5_3k_90hz_oled_touch_screen_laptop_snapdragon_x_elite_x1e_78_100_2024_16gb_512gb_cosmic_blue,1qxnmx6,3,3,0.3101206322511037,0.0,0.08326900012792732,0.05841078137632544,0.04992890744410868,0.4916328390439351,0.4960400362809499,0.49373417099316913,0.5057989954948425,0.5200967788696289,0.4193951189517975,0.32064342498779297,0.4193951189517975,0.6650575399398804,0,3,0.0,0.08823707948128383,0.6365141682948128,0.1910189384688593,0.0,0.5,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,10.402991022884823,11.5,0.39505029200828445,2.0,1.6666666666666667,2.0,1.3333333333333333,0.3185293474622692,0.9544224739074707,0.7636829158174806,0.0020905209214561182,0.006268446333706379,0.005015104606377463,0.3085044106943921,0.9254426956176758,0.7403626330458792,0.00013487386058841366,0.0003470462397672236,0.0002847033880243544,0.14194199383443143,0.4255828857421875,0.34049200382723943,0.0013078115516691469,0.003755431156605482,0.003021703784179408,0.12875149305413439,0.3859698298329022,0.3088098440781968,curiosity,is the lenovo yoga slim 7 made to hate computers???
lenovo_legion_7i_16_2_5k_oled_gaming_laptop_intel_core_ultra_9_275hx_2025_32gb_ram_nvidia_geforce_rtx_5070_1tb_ssd_glacier_white,1sc02e4,14,91,0.27643062440412386,0.0,0.042701709970533235,0.029907044998257006,0.025544227940353128,0.4889727113666115,0.4855406050171171,0.4805626862651699,0.4792375862598419,0.6065816879272461,0.31377387046813965,0.3133625090122223,0.5875980257987976,0.5408159494400024,3,11,0.21428571428571427,0.23002749056156194,1.567081229293324,0.4702836289033558,0.8571428571428571,0.6153846153846154,0.5,0.42857142857142855,0.07142857142857142,0.21428571428571427,0.2857142857142857,46.75560645199545,31.5,0.9612018947546788,3.0,1.8571428571428572,1.3333333333333333,1.4285714285714286,0.053592324863919724,0.7358474135398865,0.004420177324209359,8.753455724023038e-05,0.0011953971115872264,5.103085413793449e-06,0.0547630008694406,0.7653026580810547,0.0005286442617943971,6.602662233490264e-05,0.000355682335793972,0.00010209482570644467,0.004142698815225491,0.05543611943721771,0.0007432812446495512,0.00018395869015616233,0.001264820690266788,0.00016195866046473382,0.018805924069719517,0.2599003485326345,0.0009921926513091716,neutral,Legion Pro 7i Temps
lenovo_ideapad_slim_3_15_6_full_hd_touchscreen_laptop_amd_ryzen_7_5825u_2025_16gb_memory_512gb_ssd_arctic_grey,qcond4,33,528,0.30152796163703455,0.06060606060606061,0.07206181597327968,0.07177982344955278,0.07708747748687522,0.47945376502519305,0.484696710679793,0.476037377322262,0.477718710899353,0.7566247582435608,0.21716992557048798,0.18545106053352356,0.6692081093788147,0.4733928442001343,5,28,0.15151515151515152,0.22085040683547655,1.4913060682614458,0.4475433796778081,0.8484848484848485,0.625,0.5757575757575758,0.12121212121212122,0.09090909090909091,0.30303030303030304,0.48484848484848486,20.824598719920875,20.0,1.1687274791792328,3.0,1.2121212121212122,1.0,1.1428571428571428,0.030800358964673553,0.9591741561889648,0.004540395201183858,0.0004789007747169969,0.015722094103693962,5.508508411367077e-06,0.029028107124263028,0.9513747692108154,0.000209963633096777,0.00011476103893735193,0.001382749993354082,0.0003108393240836451,0.0042704976464544115,0.1338677853345871,0.000420725450385362,0.00023175805725975695,0.004120640456676483,0.00018295772606506945,0.010820730601050852,0.344273699214682,0.0010421056046804253,neutral,"Can someone tell me please, what's happening with my brand new lenovo's laptop screen? Name - lenovo IdeaPad slim 3"
hp_14_laptop_intel_processor_n150_2025_4gb_memory_128gb_ufs_sky_blue,1s8xn5y,17,136,0.3089036012397093,0.11764705882352941,0.0500005111295763,0.04177398340616836,0.039305408757829584,0.46052025061319857,0.49161812159068446,0.46972045521525774,0.4738881140947342,0.608880877494812,0.25132256746292114,0.21897459030151367,0.6208289861679077,0.5079017281532288,0,17,0.0,0.04029375402366414,1.6100124371857245,0.48316735430535496,0.7058823529411765,0.75,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.5294117647058824,22.360989263233634,21.0,0.8758912845045432,3.0,1.6470588235294117,1.1666666666666667,1.4166666666666667,0.184575040196411,0.9817453026771545,0.8576167106628418,8.654422926798253e-06,4.368155714473687e-05,3.300685675640125e-05,0.0006531987998160356,0.004983948543667793,0.0019331129267811781,5.028200811305878e-05,0.00019680598052218556,0.00010153241164516658,0.17363506439912324,0.9708748459815979,0.8121153235435488,0.000268327807134483,0.001500660669989884,0.0006157950963824987,0.059865094605587435,0.3257957192151177,0.27907298356828203,neutral,This or Macbook Neo ?
hp_17_3_touchscreen_laptop_intel_core_i7_16gb_ram_2tb_ssd_backlit_keyboard_fingerprint_reader_pco_laptop_cooler_silver,1s8xn5y,17,136,0.3089035889681648,0.11764705882352941,0.0500005111295763,0.04177398340616836,0.039305408757829584,0.46052014707204175,0.49161800194312544,0.4697203414843363,0.4738881289958954,0.608880877494812,0.25132253766059875,0.21897457540035248,0.6208289861679077,0.507901668548584,0,17,0.0,0.04029375742025235,1.6100124371857245,0.48316735430535496,0.7058823529411765,0.75,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.5294117647058824,22.360989263233634,21.0,0.8758912845045432,3.0,1.6470588235294117,1.1666666666666667,1.4166666666666667,0.184575040196411,0.9817453026771545,0.8576167106628418,8.65442296023556e-06,4.368155714473687e-05,3.300685675640125e-05,0.0006531984010293587,0.004983948543667793,0.0019331102259457118,5.028201217903509e-05,0.00019680598052218556,0.00010153241164516658,0.1736350591347539,0.9708748459815979,0.8121153235435488,0.0002683278156944331,0.001500660669989884,0.0006157950963824987,0.059865093663838,0.3257957192151177,0.27907298356828203,neutral,This or Macbook Neo ?
hp_17_3_touchscreen_laptop_intel_core_ultra_5_225u_32gb_ram_1tb_ssd_fp_reader_backlit_kb_pco_laptop_cooler_silver,1s8xn5y,17,136,0.30890359598047595,0.11764705882352941,0.0500005111295763,0.04177398340616836,0.039305408757829584,0.4605201320613132,0.4916179940542754,0.46972032965106125,0.473888099193573,0.608880877494812,0.25132253766059875,0.21897457540035248,0.6208289861679077,0.507901668548584,0,17,0.0,0.04029375051750856,1.6100124371857245,0.48316735430535496,0.7058823529411765,0.75,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.5294117647058824,22.360989263233634,21.0,0.8758912845045432,3.0,1.6470588235294117,1.1666666666666667,1.4166666666666667,0.184575040196411,0.9817453026771545,0.8576167106628418,8.654422926798253e-06,4.368155714473687e-05,3.300685675640125e-05,0.0006531987998160356,0.004983948543667793,0.0019331129267811781,5.028200811305878e-05,0.00019680598052218556,0.00010153241164516658,0.17363506439912324,0.9708748459815979,0.8121153235435488,0.000268327807134483,0.001500660669989884,0.0006157950963824987,0.059865094605587435,0.3257957192151177,0.27907298356828203,neutral,This or Macbook Neo ?
hp_17_3_touchscreen_laptop_intel_core_ultra_5_225u_64gb_ram_2tb_ssd_fp_reader_backlit_kb_pco_laptop_cooler_silver,1s8xn5y,17,136,0.3089035889681648,0.11764705882352941,0.0500005111295763,0.04177398340616836,0.039305408757829584,0.46052014707204175,0.49161800194312544,0.4697203414843363,0.4738881289958954,0.608880877494812,0.25132253766059875,0.21897457540035248,0.6208289861679077,0.507901668548584,0,17,0.0,0.04029375742025235,1.6100124371857245,0.48316735430535496,0.7058823529411765,0.75,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.5294117647058824,22.360989263233634,21.0,0.8758912845045432,3.0,1.6470588235294117,1.1666666666666667,1.4166666666666667,0.184575040196411,0.9817453026771545,0.8576167106628418,8.65442296023556e-06,4.368155714473687e-05,3.300685675640125e-05,0.0006531984010293587,0.004983948543667793,0.0019331102259457118,5.028201217903509e-05,0.00019680598052218556,0.00010153241164516658,0.1736350591347539,0.9708748459815979,0.8121153235435488,0.0002683278156944331,0.001500660669989884,0.0006157950963824987,0.059865093663838,0.3257957192151177,0.27907298356828203,neutral,This or Macbook Neo ?
hp_omnibook_3_copilot_pc_15_6_full_hd_touch_screen_laptop_amd_ryzen_5_ai_5_330_2025_16gb_memory_512gb_ssd_glacier_silver,1s8xn5y,17,136,0.3089035854620092,0.11764705882352941,0.0500005111295763,0.04177398340616836,0.039305408757829584,0.46052015167387095,0.4916180063258199,0.46972034455222245,0.4738880842924118,0.6088808178901672,0.25132256746292114,0.21897459030151367,0.6208289861679077,0.507901668548584,0,17,0.0,0.04029374723048771,1.6100124371857245,0.48316735430535496,0.7058823529411765,0.75,0.47058823529411764,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.5294117647058824,22.360989263233634,21.0,0.8758912845045432,3.0,1.6470588235294117,1.1666666666666667,1.4166666666666667,0.184575040196411,0.9817453026771545,0.8576167106628418,8.65442296023556e-06,4.368155714473687e-05,3.300685675640125e-05,0.0006531984010293587,0.004983948543667793,0.0019331102259457118,5.028201217903509e-05,0.00019680598052218556,0.00010153241164516658,0.1736350591347539,0.9708748459815979,0.8121153235435488,0.0002683278156944331,0.001500660669989884,0.0006157950963824987,0.059865093663838,0.3257957192151177,0.27907298356828203,neutral,This or Macbook Neo ?
